Organization Name,Final Unique URL,2021 Season Start Date,Starting Capacity,States can serve,Zip Routing
Metro-St. Louis Community Tax Coalition,mbcvitafreetax,1/20/21,200,"MO,IL","63001, 63005, 63006, 63010, 63011, 63012, 63013, 63014, 63015, 63016, 63017, 63019, 63020, 63021, 63022, 63023, 63024, 63025, 63026, 63028, 63030, 63031, 63032, 63033, 63034, 63036, 63037, 63038, 63039, 63040, 63041, 63042, 63043, 63044, 63045, 63047, 63048, 63049, 63050, 63051, 63052, 63053, 63055, 63056, 63057, 63060, 63061, 63065, 63066, 63068, 63069, 63070, 63071, 63072, 63073, 63074, 63077, 63079, 63080, 63084, 63087, 63088, 63089, 63090, 63091, 63099, 63101, 63102, 63103, 63104, 63105, 63106, 63107, 63108, 63109, 63110, 63111, 63112, 63113, 63114, 63115, 63116, 63117, 63118, 63119, 63120, 63121, 63122, 63123, 63124, 63125, 63126, 63127, 63128, 63129, 63130, 63131, 63132, 63133, 63134, 63135, 63136, 63137, 63138, 63139, 63140, 63141, 63143, 63144, 63145, 63146, 63147, 63150, 63151, 63155, 63156, 63157, 63158, 63160, 63163, 63164, 63166, 63167, 63169, 63171, 63177, 63178, 63179, 63180, 63182, 63188, 63190, 63195, 63196, 63197, 63198, 63199, 63301, 63302, 63303, 63304, 63330, 63332, 63333, 63334, 63336, 63338, 63339, 63341, 63342, 63343, 63344, 63345, 63346, 63347, 63348, 63349, 63350, 63351, 63352, 63353, 63357, 63359, 63361, 63362, 63363, 63365, 63366, 63367, 63368, 63369, 63370, 63373, 63376, 63377, 63378, 63379, 63381, 63382, 63383, 63384, 63385, 63386, 63387, 63388, 63389, 63390, 63401, 63430, 63431, 63432, 63433, 63434, 63435, 63436, 63437, 63438, 63439, 63440, 63441, 63442, 63443, 63445, 63446, 63447, 63448, 63450, 63451, 63452, 63453, 63454, 63456, 63457, 63458, 63459, 63460, 63461, 63462, 63463, 63464, 63465, 63466, 63467, 63468, 63469, 63471, 63472, 63473, 63474, 63501, 63530, 63531, 63532, 63533, 63534, 63535, 63536, 63537, 63538, 63539, 63540, 63541, 63543, 63544, 63545, 63546, 63547, 63548, 63549, 63551, 63552, 63555, 63556, 63557, 63558, 63559, 63560, 63561, 63563, 63565, 63566, 63567, 63601, 63620, 63621, 63622, 63623, 63624, 63625, 63626, 63627, 63628, 63629, 63630, 63631, 63632, 63633, 63636, 63637, 63638, 63640, 63645, 63648, 63650, 63651, 63653, 63654, 63655, 63656, 63660, 63662, 63663, 63664, 63665, 63666, 63670, 63673, 63674, 63675, 63701, 63702, 63703, 63730, 63732, 63735, 63736, 63737, 63738, 63739, 63740, 63742, 63743, 63744, 63745, 63746, 63747, 63748, 63750, 63751, 63752, 63755, 63758, 63760, 63763, 63764, 63766, 63767, 63769, 63770, 63771, 63774, 63775, 63776, 63779, 63780, 63781, 63782, 63783, 63784, 63785, 63787, 63801, 63820, 63821, 63822, 63823, 63824, 63825, 63826, 63827, 63828, 63829, 63830, 63833, 63834, 63837, 63839, 63840, 63841, 63845, 63846, 63847, 63848, 63849, 63850, 63851, 63852, 63853, 63855, 63857, 63860, 63862, 63863, 63866, 63867, 63868, 63869, 63870, 63873, 63874, 63875, 63876, 63877, 63878, 63879, 63880, 63881, 63882, 63901, 63902, 63931, 63932, 63933, 63934, 63935, 63936, 63937, 63938, 63939, 63940, 63941, 63942, 63943, 63944, 63945, 63950, 63951, 63952, 63953, 63954, 63955, 63956, 63957, 63960, 63961, 63962, 63963, 63964, 63965, 63966, 63967, 64001, 64011, 64012, 64013, 64014, 64015, 64016, 64017, 64018, 64019, 64020, 64021, 64022, 64024, 64028, 64029, 64030, 64034, 64035, 64036, 64037, 64040, 64048, 64050, 64051, 64052, 64053, 64054, 64055, 64056, 64057, 64058, 64060, 64061, 64062, 64063, 64064, 64065, 64066, 64067, 64068, 64069, 64070, 64071, 64072, 64073, 64074, 64075, 64076, 64077, 64078, 64079, 64080, 64081, 64082, 64083, 64084, 64085, 64086, 64088, 64089, 64090, 64092, 64093, 64096, 64097, 64098, 64101, 64102, 64105, 64106, 64108, 64109, 64110, 64111, 64112, 64113, 64114, 64116, 64117, 64118, 64119, 64120, 64121, 64123, 64124, 64125, 64126, 64127, 64128, 64129, 64130, 64131, 64132, 64133, 64134, 64136, 64137, 64138, 64139, 64141, 64144, 64145, 64146, 64147, 64148, 64149, 64150, 64151, 64152, 64153, 64154, 64155, 64156, 64157, 64158, 64161, 64163, 64164, 64165, 64166, 64167, 64168, 64170, 64171, 64172, 64179, 64180, 64183, 64184, 64185, 64187, 64188, 64190, 64191, 64192, 64193, 64194, 64195, 64196, 64197, 64198, 64199, 64401, 64402, 64420, 64421, 64422, 64423, 64424, 64426, 64427, 64428, 64429, 64430, 64431, 64432, 64433, 64434, 64436, 64437, 64438, 64439, 64440, 64441, 64442, 64443, 64444, 64445, 64446, 64447, 64448, 64449, 64451, 64453, 64454, 64455, 64456, 64457, 64458, 64459, 64461, 64463, 64465, 64466, 64467, 64468, 64469, 64470, 64471, 64473, 64474, 64475, 64476, 64477, 64479, 64480, 64481, 64482, 64483, 64484, 64485, 64486, 64487, 64489, 64490, 64491, 64492, 64493, 64494, 64496, 64497, 64498, 64499, 64501, 64502, 64503, 64504, 64505, 64506, 64507, 64508, 64601, 64620, 64622, 64623, 64624, 64625, 64628, 64630, 64631, 64632, 64633, 64635, 64636, 64637, 64638, 64639, 64640, 64641, 64642, 64643, 64644, 64645, 64646, 64647, 64648, 64649, 64650, 64651, 64652, 64653, 64654, 64655, 64656, 64657, 64658, 64659, 64660, 64661, 64664, 64667, 64668, 64670, 64671, 64672, 64673, 64674, 64676, 64679, 64680, 64681, 64682, 64683, 64686, 64688, 64689, 64701, 64720, 64722, 64723, 64724, 64725, 64726, 64728, 64730, 64733, 64734, 64735, 64738, 64739, 64740, 64741, 64742, 64743, 64744, 64745, 64746, 64747, 64748, 64750, 64752, 64755, 64756, 64759, 64761, 64762, 64763, 64765, 64766, 64767, 64769, 64770, 64771, 64772, 64776, 64778, 64779, 64780, 64781, 64783, 64784, 64788, 64789, 64790, 64801, 64802, 64803, 64804, 64830, 64831, 64832, 64833, 64834, 64835, 64836, 64840, 64841, 64842, 64843, 64844, 64847, 64848, 64849, 64850, 64853, 64854, 64855, 64856, 64857, 64858, 64859, 64861, 64862, 64863, 64864, 64865, 64866, 64867, 64868, 64869, 64870, 64873, 64874, 64944, 64999, 65001, 65010, 65011, 65013, 65014, 65016, 65017, 65018, 65020, 65023, 65024, 65025, 65026, 65032, 65034, 65035, 65036, 65037, 65038, 65039, 65040, 65041, 65042, 65043, 65046, 65047, 65048, 65049, 65050, 65051, 65052, 65053, 65054, 65055, 65058, 65059, 65061, 65062, 65063, 65064, 65065, 65066, 65067, 65068, 65069, 65072, 65074, 65075, 65076, 65077, 65078, 65079, 65080, 65081, 65082, 65083, 65084, 65085, 65101, 65102, 65103, 65104, 65105, 65106, 65107, 65108, 65109, 65110, 65111, 65201, 65202, 65203, 65205, 65211, 65212, 65215, 65216, 65217, 65218, 65230, 65231, 65232, 65233, 65236, 65237, 65239, 65240, 65243, 65244, 65246, 65247, 65248, 65250, 65251, 65254, 65255, 65256, 65257, 65258, 65259, 65260, 65261, 65262, 65263, 65264, 65265, 65270, 65274, 65275, 65276, 65278, 65279, 65280, 65281, 65282, 65283, 65284, 65285, 65286, 65287, 65299, 65301, 65302, 65305, 65320, 65321, 65322, 65323, 65324, 65325, 65326, 65327, 65329, 65330, 65332, 65333, 65334, 65335, 65336, 65337, 65338, 65339, 65340, 65344, 65345, 65347, 65348, 65349, 65350, 65351, 65354, 65355, 65360, 65401, 65402, 65409, 65436, 65438, 65439, 65440, 65441, 65443, 65444, 65446, 65449, 65452, 65453, 65456, 65457, 65459, 65461, 65462, 65463, 65464, 65466, 65468, 65470, 65473, 65479, 65483, 65484, 65486, 65501, 65529, 65532, 65534, 65535, 65536, 65541, 65542, 65543, 65546, 65548, 65550, 65552, 65555, 65556, 65557, 65559, 65560, 65564, 65565, 65566, 65567, 65570, 65571, 65580, 65582, 65583, 65584, 65586, 65588, 65589, 65590, 65591, 65601, 65603, 65604, 65605, 65606, 65607, 65608, 65609, 65610, 65611, 65612, 65613, 65614, 65615, 65616, 65617, 65618, 65619, 65620, 65622, 65623, 65624, 65625, 65626, 65627, 65629, 65630, 65631, 65632, 65633, 65634, 65635, 65636, 65637, 65638, 65640, 65641, 65644, 65645, 65646, 65647, 65648, 65649, 65650, 65652, 65653, 65654, 65655, 65656, 65657, 65658, 65660, 65661, 65662, 65663, 65664, 65666, 65667, 65668, 65669, 65672, 65673, 65674, 65675, 65676, 65679, 65680, 65681, 65682, 65685, 65686, 65688, 65689, 65690, 65692, 65701, 65702, 65704, 65705, 65706, 65707, 65708, 65710, 65711, 65712, 65713, 65714, 65715, 65717, 65720, 65721, 65722, 65723, 65724, 65725, 65726, 65727, 65728, 65729, 65730, 65731, 65732, 65733, 65734, 65735, 65737, 65738, 65739, 65740, 65741, 65742, 65744, 65745, 65746, 65747, 65752, 65753, 65754, 65755, 65756, 65757, 65759, 65760, 65761, 65762, 65764, 65765, 65766, 65767, 65768, 65769, 65770, 65771, 65772, 65773, 65774, 65775, 65776, 65777, 65778, 65779, 65781, 65783, 65784, 65785, 65786, 65787, 65788, 65789, 65790, 65791, 65793, 65801, 65802, 65803, 65804, 65805, 65806, 65807, 65808, 65809, 65810, 65814, 65817, 65890, 65897, 65898, 65899, 62301, 62305, 62306, 62320, 62324, 62325, 62338, 62339, 62346, 62347, 62348, 62349, 62351, 62359, 62360, 62365, 62376, 62914, 62957, 62962, 62969, 62988, 62990, 62993, 62086, 62246, 62262, 62273, 62275, 62284, 61008, 61011, 61012, 61038, 61065, 62353, 62375, 62378, 61312, 61314, 61315, 61317, 61320, 61322, 61323, 61328, 61329, 61330, 61337, 61338, 61344, 61345, 61346, 61349, 61356, 61359, 61361, 61362, 61368, 61374, 61376, 61379, 62006, 62013, 62036, 62045, 62047, 62053, 62065, 62070, 61014, 61046, 61051, 61053, 61074, 61078, 61285, 62611, 62612, 62618, 62622, 62627, 62691, 60949, 61801, 61802, 61803, 61815, 61816, 61820, 61821, 61822, 61824, 61825, 61826, 61840, 61843, 61845, 61847, 61849, 61851, 61852, 61853, 61859, 61862, 61863, 61864, 61866, 61871, 61872, 61873, 61874, 61875, 61877, 61878, 61880, 62083, 62510, 62517, 62531, 62540, 62546, 62547, 62550, 62555, 62556, 62557, 62567, 62568, 62570, 62420, 62423, 62441, 62442, 62474, 62477, 62434, 62824, 62839, 62858, 62879, 62899, 62215, 62216, 62218, 62219, 62230, 62231, 62245, 62250, 62252, 62253, 62265, 62266, 62293, 61912, 61920, 61931, 61938, 61943, 62440, 62469, 60004, 60005, 60006, 60007, 60008, 60009, 60016, 60017, 60018, 60019, 60022, 60025, 60026, 60029, 60038, 60043, 60053, 60055, 60056, 60062, 60065, 60067, 60068, 60070, 60074, 60076, 60077, 60078, 60082, 60090, 60091, 60093, 60094, 60095, 60104, 60107, 60130, 60131, 60133, 60141, 60153, 60154, 60155, 60159, 60160, 60161, 60162, 60163, 60164, 60165, 60168, 60169, 60171, 60173, 60176, 60179, 60192, 60193, 60194, 60195, 60196, 60201, 60202, 60203, 60204, 60208, 60209, 60296, 60297, 60301, 60302, 60303, 60304, 60305, 60402, 60406, 60409, 60411, 60412, 60415, 60419, 60422, 60425, 60426, 60428, 60429, 60430, 60438, 60439, 60443, 60445, 60452, 60453, 60454, 60455, 60456, 60457, 60458, 60459, 60461, 60462, 60463, 60464, 60465, 60466, 60467, 60469, 60471, 60472, 60473, 60475, 60476, 60477, 60478, 60480, 60482, 60483, 60487, 60499, 60501, 60513, 60525, 60526, 60534, 60546, 60558, 60601, 60602, 60603, 60604, 60605, 60606, 60607, 60608, 60609, 60610, 60611, 60612, 60613, 60614, 60615, 60616, 60617, 60618, 60619, 60620, 60621, 60622, 60623, 60624, 60625, 60626, 60628, 60629, 60630, 60631, 60632, 60633, 60634, 60636, 60637, 60638, 60639, 60640, 60641, 60643, 60644, 60645, 60646, 60647, 60649, 60651, 60652, 60653, 60654, 60655, 60656, 60657, 60659, 60660, 60661, 60663, 60664, 60666, 60668, 60669, 60670, 60673, 60674, 60675, 60677, 60678, 60679, 60680, 60681, 60682, 60684, 60685, 60686, 60687, 60688, 60689, 60690, 60691, 60693, 60694, 60695, 60696, 60697, 60699, 60701, 60706, 60707, 60712, 60714, 60803, 60804, 60805, 60827, 62413, 62427, 62433, 62449, 62451, 62454, 62464, 62478, 62428, 62435, 62436, 62447, 62468, 60111, 60112, 60115, 60129, 60135, 60145, 60146, 60150, 60178, 60520, 60548, 60550, 60552, 60556, 61727, 61735, 61749, 61750, 61777, 61778, 61842, 61882, 61910, 61911, 61913, 61919, 61930, 61941, 61942, 61953, 61956, 60101, 60103, 60105, 60106, 60108, 60116, 60117, 60122, 60125, 60126, 60128, 60132, 60137, 60138, 60139, 60143, 60148, 60157, 60172, 60181, 60184, 60185, 60186, 60187, 60188, 60189, 60190, 60191, 60197, 60199, 60399, 60502, 60503, 60504, 60514, 60515, 60516, 60517, 60519, 60521, 60522, 60523, 60527, 60532, 60540, 60555, 60559, 60561, 60563, 60565, 60566, 60567, 60570, 60572, 60597, 60598, 60599, 61917, 61924, 61932, 61933, 61940, 61944, 61949, 61955, 62476, 62806, 62815, 62818, 62833, 62401, 62411, 62414, 62424, 62426, 62443, 62445, 62461, 62467, 62473, 62011, 62080, 62247, 62418, 62458, 62471, 62838, 62857, 62880, 62885, 60919, 60933, 60936, 60946, 60952, 60957, 60959, 60962, 61773, 62805, 62812, 62819, 62822, 62825, 62836, 62840, 62856, 62865, 62874, 62884, 62890, 62891, 62896, 62897, 62983, 62999, 61415, 61427, 61431, 61432, 61433, 61441, 61459, 61477, 61482, 61484, 61501, 61519, 61520, 61524, 61531, 61542, 61543, 61544, 61553, 61563, 62867, 62871, 62934, 62954, 62979, 62984, 62016, 62027, 62044, 62050, 62054, 62078, 62081, 62082, 62092, 62098, 60407, 60416, 60424, 60437, 60444, 60447, 60450, 60474, 60479, 62817, 62828, 62829, 62859, 62860, 61450, 62311, 62313, 62316, 62321, 62329, 62330, 62334, 62336, 62341, 62354, 62358, 62367, 62373, 62379, 62380, 62919, 62931, 62955, 62982, 61418, 61425, 61437, 61454, 61460, 61469, 61471, 61480, 61233, 61234, 61235, 61238, 61241, 61254, 61258, 61262, 61273, 61274, 61413, 61419, 61434, 61443, 61468, 61490, 60911, 60912, 60918, 60922, 60924, 60926, 60927, 60928, 60930, 60931, 60938, 60939, 60945, 60948, 60951, 60953, 60955, 60956, 60966, 60967, 60968, 60970, 60973, 60974, 62901, 62902, 62903, 62907, 62916, 62924, 62927, 62932, 62940, 62942, 62950, 62958, 62966, 62971, 62975, 62994, 62432, 62448, 62459, 62475, 62479, 62480, 62481, 62810, 62814, 62816, 62830, 62846, 62864, 62866, 62872, 62883, 62889, 62894, 62898, 62022, 62028, 62030, 62031, 62037, 62052, 62063, 61001, 61025, 61028, 61036, 61041, 61059, 61075, 61085, 61087, 62908, 62909, 62912, 62923, 62939, 62943, 62967, 62972, 62985, 62995, 60109, 60110, 60118, 60119, 60120, 60121, 60123, 60124, 60134, 60136, 60140, 60144, 60147, 60151, 60170, 60174, 60175, 60177, 60183, 60505, 60506, 60507, 60510, 60511, 60539, 60542, 60554, 60568, 60901, 60910, 60913, 60914, 60915, 60917, 60935, 60940, 60941, 60944, 60950, 60954, 60961, 60964, 60969, 60512, 60536, 60537, 60538, 60541, 60543, 60545, 60560, 61401, 61402, 61410, 61414, 61428, 61430, 61436, 61439, 61448, 61458, 61467, 61472, 61474, 61485, 61488, 61489, 61572, 60470, 60518, 60531, 60549, 60551, 60557, 61301, 61316, 61321, 61325, 61332, 61334, 61341, 61342, 61348, 61350, 61354, 61358, 61360, 61364, 61370, 61371, 61372, 61373, 60002, 60010, 60011, 60015, 60020, 60030, 60031, 60035, 60037, 60040, 60041, 60042, 60044, 60045, 60046, 60047, 60048, 60049, 60060, 60061, 60064, 60069, 60073, 60075, 60079, 60083, 60084, 60085, 60086, 60087, 60088, 60089, 60092, 60096, 60099, 62417, 62439, 62460, 62466, 60530, 60553, 61006, 61021, 61031, 61042, 61057, 61058, 61310, 61318, 61324, 61331, 61353, 61367, 61378, 60420, 60460, 60920, 60921, 60929, 60934, 61311, 61313, 61319, 61333, 61739, 61740, 61741, 61743, 61764, 61769, 61775, 61723, 61751, 62512, 62518, 62519, 62541, 62543, 62548, 62634, 62635, 62643, 62656, 62666, 62671, 61756, 62501, 62513, 62514, 62521, 62522, 62523, 62524, 62525, 62526, 62532, 62535, 62537, 62544, 62549, 62551, 62554, 62573, 62009, 62012, 62014, 62023, 62033, 62069, 62079, 62085, 62088, 62093, 62626, 62630, 62640, 62649, 62667, 62672, 62674, 62683, 62685, 62690, 62001, 62002, 62010, 62018, 62021, 62024, 62025, 62026, 62034, 62035, 62040, 62046, 62048, 62058, 62060, 62061, 62062, 62067, 62074, 62084, 62087, 62090, 62095, 62097, 62234, 62249, 62281, 62294, 62801, 62807, 62849, 62853, 62854, 62870, 62875, 62881, 62882, 62892, 62893, 61369, 61375, 61377, 61424, 61537, 61540, 61541, 61565, 61570, 61532, 61546, 61567, 62617, 62633, 62644, 62655, 62664, 62682, 62910, 62953, 62960, 61411, 61416, 61420, 61422, 61438, 61440, 61455, 61470, 61475, 62326, 62374, 60001, 60012, 60013, 60014, 60021, 60033, 60034, 60039, 60050, 60051, 60071, 60072, 60081, 60097, 60098, 60102, 60142, 60152, 60156, 60180, 61701, 61702, 61704, 61709, 61710, 61720, 61722, 61724, 61725, 61726, 61728, 61730, 61731, 61732, 61736, 61737, 61744, 61745, 61748, 61752, 61753, 61754, 61758, 61761, 61770, 61772, 61774, 61776, 61790, 61791, 61799, 62613, 62642, 62659, 62673, 62675, 62688, 61231, 61260, 61263, 61272, 61276, 61281, 61412, 61442, 61465, 61466, 61476, 61486, 62236, 62244, 62248, 62256, 62279, 62295, 62298, 62015, 62017, 62019, 62032, 62049, 62051, 62056, 62075, 62076, 62077, 62089, 62091, 62094, 62533, 62538, 62560, 62572, 62601, 62628, 62631, 62638, 62650, 62651, 62660, 62665, 62668, 62692, 62695, 61914, 61925, 61928, 61937, 61951, 60113, 61007, 61010, 61015, 61020, 61030, 61043, 61047, 61049, 61052, 61054, 61061, 61064, 61068, 61084, 61091, 61451, 61517, 61523, 61525, 61526, 61528, 61529, 61533, 61536, 61539, 61547, 61552, 61559, 61562, 61569, 61601, 61602, 61603, 61604, 61605, 61606, 61607, 61612, 61613, 61614, 61615, 61616, 61625, 61629, 61630, 61633, 61634, 61635, 61636, 61637, 61638, 61639, 61641, 61643, 61650, 61651, 61652, 61653, 61654, 61655, 61656, 62238, 62274, 62832, 62888, 62997, 61813, 61818, 61830, 61839, 61854, 61855, 61856, 61884, 61929, 61936, 62312, 62314, 62323, 62340, 62343, 62345, 62352, 62355, 62356, 62357, 62361, 62362, 62363, 62366, 62370, 62928, 62938, 62947, 62941, 62956, 62963, 62964, 62970, 62973, 62976, 62992, 62996, 61326, 61327, 61335, 61336, 61340, 61363, 61560, 62217, 62233, 62237, 62241, 62242, 62259, 62261, 62272, 62277, 62278, 62280, 62286, 62288, 62292, 62297, 62419, 62421, 62425, 62450, 62452, 62868, 61201, 61204, 61232, 61236, 61237, 61239, 61240, 61242, 61244, 61256, 61257, 61259, 61264, 61265, 61266, 61275, 61278, 61279, 61282, 61284, 61299, 62059, 62071, 62201, 62202, 62203, 62204, 62205, 62206, 62207, 62208, 62220, 62221, 62222, 62223, 62224, 62225, 62226, 62232, 62239, 62240, 62243, 62254, 62255, 62257, 62258, 62260, 62264, 62269, 62282, 62285, 62289, 62917, 62930, 62935, 62946, 62965, 62977, 62987, 62515, 62520, 62530, 62536, 62539, 62545, 62558, 62561, 62563, 62615, 62625, 62629, 62661, 62662, 62670, 62677, 62684, 62689, 62693, 62701, 62702, 62703, 62704, 62705, 62706, 62707, 62708, 62711, 62712, 62713, 62715, 62716, 62719, 62721, 62722, 62723, 62726, 62736, 62739, 62746, 62756, 62757, 62761, 62762, 62763, 62764, 62765, 62766, 62767, 62769, 62776, 62777, 62781, 62786, 62791, 62794, 62796, 61452, 62319, 62344, 62624, 62639, 62681, 62610, 62621, 62663, 62694, 61957, 62422, 62431, 62438, 62444, 62462, 62463, 62465, 62534, 62553, 62565, 62571, 61421, 61426, 61449, 61479, 61483, 61491, 61013, 61018, 61019, 61027, 61032, 61039, 61044, 61048, 61050, 61060, 61062, 61067, 61070, 61089, 61534, 61535, 61550, 61554, 61555, 61558, 61564, 61568, 61571, 61610, 61611, 61721, 61733, 61734, 61747, 61755, 61759, 62905, 62906, 62920, 62926, 62952, 62961, 62998, 60932, 60942, 60960, 60963, 61810, 61811, 61812, 61814, 61817, 61831, 61832, 61833, 61834, 61841, 61844, 61846, 61848, 61850, 61857, 61858, 61865, 61870, 61876, 61883, 62410, 62811, 62852, 62855, 62863, 61417, 61423, 61435, 61447, 61453, 61462, 61473, 61478, 62214, 62263, 62268, 62271, 62803, 62808, 62831, 62848, 62876, 62877, 62446, 62809, 62823, 62837, 62842, 62843, 62850, 62851, 62878, 62886, 62895, 62820, 62821, 62827, 62834, 62835, 62844, 62861, 62862, 62869, 62887, 61037, 61071, 61081, 61230, 61243, 61250, 61251, 61252, 61261, 61270, 61277, 61283, 60401, 60403, 60404, 60408, 60410, 60417, 60421, 60423, 60431, 60432, 60433, 60434, 60435, 60436, 60440, 60441, 60442, 60446, 60448, 60449, 60451, 60468, 60481, 60490, 60491, 60544, 60564, 60585, 60586, 62841, 62915, 62918, 62921, 62922, 62933, 62948, 62949, 62951, 62959, 62974, 61016, 61024, 61063, 61072, 61073, 61077, 61079, 61080, 61088, 61101, 61102, 61103, 61104, 61105, 61106, 61107, 61108, 61109, 61110, 61111, 61112, 61114, 61115, 61125, 61126, 61130, 61131, 61132, 61516, 61530, 61545, 61548, 61561, 61729, 61738, 61742, 61760, 61771"
Midwest City Neighborhoods In Action VITA,MCNA,,,,
MMCDC/CVCTS,CVCTS,2/1/21,100,CA,"92240, 92241, 92262, 92263, 92264, 92234, 92235, 92276, 92270, 92210, 92211, 92255, 92260, 92261, 92210, 92247, 92248, 92253, 92203, 92201, 92202, 92203, 92236, 92274, 92275, 92254"
NeighborWorks Umpqua,NeighborWorks,,,,
Nevada Free Taxes Coalition,NVFreeTax,,,,"89001, 89002, 89005, 89008, 89010, 89011, 89012, 89013, 89014, 89015, 89019, 89020, 89027, 89029, 89030, 89031, 89032, 89040, 89043, 89044, 89045, 89046, 89048, 89049, 89052, 89060, 89061, 89074, 89081, 89084, 89085, 89086, 89101, 89102, 89103, 89104, 89106, 89107, 89108, 89109, 89110, 89113, 89115, 89117, 89118, 89119, 89120, 89121, 89122, 89123, 89124, 89128, 89129, 89130, 89131, 89134, 89135, 89138, 89139, 89141, 89142, 89143, 89144, 89145, 89146, 89147, 89148, 89149, 89156, 89161, 89166, 89169, 89178, 89179, 89183, "
New Community Corp. Family Resource Center,nccfrc,,,,
North Texas Area United Way,NTAUW,1/20/21,200,"TX,OK,NM",
Northland Free Tax Assistance,,,,,
OKC Tax Help/ Arnall Family Foundation,uco,1/20/21,150,OK,
Orange County NC Government - Dept on Aging - VC 55+ VITA,OrangeNC,2/1/21,150,NC,"27231, 27243, 27278, 27510, 27514, 27516, 27517"
Orange County United Way,OCUW,1/25/21,100,CA,
Pittsylvania County Community Action,DanvilleVA,1/20/21,130,"VA,NC",
Pocono Mountains United Way,PMUW,,,,
Rappahannock United Way,RUW,1/25/21,200,VA,"22401, 22402, 22403, 22404, 22405, 22406, 22407, 22408, 22412, 22448, 55451, 22481, 22485, 22526, 22544, 22547, 22427, 22428, 22501, 22514, 22535, 22538, 22546, 22552, 22580"
River Cities United Way,,,,,
StreetCred at BMC,BTHC-STREETCRED,2/1/21,200,MA,
SUNY New Paltz,NewPaltz,2/1/21,200,NY,
Tax Help Colorado ,txhelpco,1/25/21,300,"CO,KS,WY,TX,AK,NE,ND,SD,FL",
Tax Help New Mexico,tax_help_new_mexico,1/20/21,50,NM,
Tax-Aid,Tax-Aid,1/20/21,200,CA,
Temple University,tuvs ,1/20/21,200,PA,"18041, 18054, 18070, 18073, 18074, 18076, 18084, 18915, 18918, 18932, 18936, 18957, 18958, 18964, 18969, 18971, 18979, 19001, 19002, 19003, 19004, 19006, 19009, 19010, 19012, 19025, 19027, 19031, 19034, 19035, 19038, 19040, 19041, 19044, 19046, 19066, 19072, 19075, 19083, 19085, 19087, 19090, 19095, 19096, 19118, 19128, 19401, 19403, 19404, 19405, 19406, 19407, 19408, 19409, 19415, 19422, 19423, 19424, 19426, 19428, 19429, 19430, 19435, 19436, 19437, 19438, 19440, 19441, 19443, 19444, 19446, 19450, 19451, 19453, 19454, 19455, 19456, 19460, 19462, 19464, 19468, 19472, 19473, 19474, 19477, 19478, 19484, 19486, 19490, 19492, 19504, 19505, 19512, 19525"
The Cooperative Ministry,CoopMin,1/20/21,200,SC,
The River Center/CA$H Coalition of NH,rcenter,1/20/21,25,"NH,VT,MA,ME",
Total Action for Progress,tap,2/16/21,150,VA,"24011, 24012, 24013, 24014, 24015, 24016, 24017, 24018, 24019, 24059, 24064, 24066, 24077, 24083, 24085, 24090, 24095, 24121, 24122, 24127, 24131, 24153, 24175, 24179, 24416, 24422, 24426, 24435, 24439, 24445, 24448, 24450, 24457, 24460, 24472, 24473, 24474, 24479, 24483, 24484, 24487, 24523, 24555, 24578, 24579"
United Way Bay Area,uwba,,700,CA,
United Way California Capital Region,UWCCR,1/25/21,300,"CA,AK,FL,NH,NV,SD,TN,TX,WA,WY",
"United Way Lee, Hendry, Glades, Okeechobee",UWLEE,2/1/21,20,FL,"33901, 33902, 33903, 33904, 33905, 33906, 33907, 33908, 33909, 33910, 33911, 33912, 33913, 33914, 33915, 33916, 33917, 33918, 33919, 33920, 33921, 33922, 33924, 33928, 33931, 33932, 33936, 33945, 33956, 33957, 33970, 33971, 33972, 33990, 33991, 33993, 33994, 34133, 34134, 34135, 34136, 33923, 33929, 33946, 33947, 33948, 33950, 33952, 33953, 33954, 33955, 33980, 33981, 33982, 33983, 34224, 33440, 33930, 33935, 33975, 34973, 33471"
United Way of Central Alabama,UWCAORG,1/25/21,150,AL,
United Way of Central Indiana,,,,,
United Way of Central Ohio,,,,,
United Way of Denton County,UWDC,2/8/21,200,TX,
United Way of Fairfield County,uwayfair,1/26/21,150,OH,"43112, 43157, 43155, 43154, 43150, 43150, 43150, 43148, 43147, 43147, 43136, 43130, 43046, 43110, 43107, 43107, 43107, 43105, 43105, 43102, 43076, 43068, 43046"
United Way of Greater Atlanta,uwga,2/1/21,,,
United Way of Greater Cincinnati Free Tax Prep Coalition,uwgcftp,1/20/21,60,"OH,KY",
United Way of Greater Nashville,greaternashville,1/20/21,500,TN,
United Way of Greater Newark,UWGN,2/1/21,150,NJ,
